Nome_da_Imagem,PID,Nome_da_Sessao,Sessao#,Uso_de_memoria
=========================,========,================,===========,============
System,Idle,Process,0,Services,0,8,K
ETDCtrl.exe,21088,Console,24,25.888,K
sihost.exe,7052,Console,24,27.728,K
svchost.exe,3828,Console,24,30.564,K
svchost.exe,3224,Console,24,33.188,K
taskhostw.exe,20020,Console,24,19.488,K
igfxEM.exe,13728,Console,24,25.828,K
taskhostw.exe,17020,Console,24,17.584,K
explorer.exe,20080,Console,24,153.476,K
ETDTouch.exe,3368,Console,24,8.784,K
ctfmon.exe,10532,Console,24,22.280,K
svchost.exe,11840,Console,24,23.436,K
ETDCtrlHelper.exe,18748,Console,24,11.320,K
StartMenuExperienceHost.e,19888,Console,24,70.992,K
RuntimeBroker.exe,20512,Console,24,28.744,K
SearchApp.exe,20640,Console,24,106.364,K
RuntimeBroker.exe,9184,Console,24,42.460,K
RuntimeBroker.exe,14540,Console,24,26.700,K
SecurityHealthSystray.exe,15920,Console,24,10.480,K
RtkNGUI64.exe,6296,Console,24,15.824,K
RAVBg64.exe,18712,Console,24,17.280,K
Microsoft.SharePoint.exe,10588,Console,24,52.456,K
RtlS5Wake.exe,10544,Console,24,15.480,K
svchost.exe,7096,Console,24,13.412,K
chrome.exe,14080,Console,24,228.304,K
chrome.exe,15196,Console,24,10.096,K
chrome.exe,316,Console,24,199.708,K
chrome.exe,18972,Console,24,97.740,K
chrome.exe,16836,Console,24,23.036,K
TextInputHost.exe,18324,Console,24,46.572,K
msedge.exe,17764,Console,24,139.640,K
msedge.exe,3184,Console,24,8.452,K
msedge.exe,9204,Console,24,30.400,K
msedge.exe,11512,Console,24,38.700,K
msedge.exe,15192,Console,24,19.736,K
msedge.exe,9380,Console,24,120.848,K
msedge.exe,12816,Console,24,28.436,K
chrome.exe,19480,Console,24,141.940,K
chrome.exe,20980,Console,24,149.920,K
dllhost.exe,13816,Console,24,14.080,K
git-bash.exe,1920,Console,24,5.760,K
mintty.exe,20440,Console,24,19.564,K
conhost.exe,20612,Console,24,13.404,K
bash.exe,9528,Console,24,11.368,K
ShellExperienceHost.exe,1684,Console,24,50.592,K
RuntimeBroker.exe,8188,Console,24,16.176,K
chrome.exe,1536,Console,24,24.660,K
CompPkgSrv.exe,19184,Console,24,9.728,K
chrome.exe,13484,Console,24,79.384,K
chrome.exe,2912,Console,24,371.328,K
chrome.exe,720,Console,24,62.296,K
chrome.exe,16904,Console,24,57.320,K
chrome.exe,12320,Console,24,49.556,K
chrome.exe,13736,Console,24,83.564,K
rstudio.exe,3724,Console,24,131.504,K
rstudio.exe,760,Console,24,101.568,K
rstudio.exe,8136,Console,24,49.028,K
rstudio.exe,3304,Console,24,166.992,K
chrome.exe,20132,Console,24,294.564,K
chrome.exe,12244,Console,24,53.612,K
rsession-utf8.exe,12576,Console,24,255.492,K
conhost.exe,9036,Console,24,11.552,K
svchost.exe,10852,Services,0,8.144,K
chrome.exe,6076,Console,24,29.688,K
smartscreen.exe,14520,Console,24,24.004,K
Code.exe,20180,Console,24,139.324,K
Code.exe,19428,Console,24,33.564,K
Code.exe,9240,Console,24,138.932,K
Code.exe,8488,Console,24,48.320,K
Code.exe,10948,Console,24,313.408,K
Code.exe,7188,Console,24,109.888,K
Code.exe,12388,Console,24,123.448,K
CodeSetup-stable-384ff738,9376,Console,24,12.316,K
CodeSetup-stable-384ff738,4800,Console,24,42.668,K
SearchProtocolHost.exe,15492,Services,0,15.160,K
SearchProtocolHost.exe,11144,Console,24,9.196,K
Code.exe,2452,Console,24,114.896,K
Code.exe,13172,Console,24,217.520,K
pet.exe,11736,Console,24,7.132,K
conhost.exe,6552,Console,24,11.572,K
conhost.exe,13984,Console,24,7.628,K
powershell.exe,17156,Console,24,74.964,K
python.exe,16484,Console,24,49.572,K
conhost.exe,16952,Console,24,11.840,K
Code.exe,12024,Console,24,233.552,K
conhost.exe,3764,Console,24,7.724,K
powershell.exe,15484,Console,24,75.524,K
python.exe,14408,Console,24,11.740,K
tasklist.exe,16800,Console,24,9.972,K
conhost.exe,9704,Console,24,11.916,K
WmiPrvSE.exe,11568,Services,0,10.820,K
reg.exe,9760,Console,24,4.252,K
conhost.exe,6572,Console,24,11.780,K
