mes ;icao;aerodromo;municipio;ano;tipo de voo;total de passageiros;passageiros Azul;mes sigla;numMes
Janeiro;SBSP;Aeroporto de São Paulo/Congonhas;São Paulo/SP;2024;Doméstico;1946939;272571;Jan;1
Fevereiro;SBSP;Aeroporto de São Paulo/Congonhas;São Paulo/SP;2024;Doméstico;1689909;236587;Fev;2
Março;SBSP;Aeroporto de São Paulo/Congonhas;São Paulo/SP;2024;Doméstico;1943071;272030;Mar;3
Abril;SBSP;Aeroporto de São Paulo/Congonhas;São Paulo/SP;2024;Doméstico;1892587;264962;Abr;4
Maio;SBSP;Aeroporto de São Paulo/Congonhas;São Paulo/SP;2024;Doméstico;1833122;256637;Mai;5
Junho;SBSP;Aeroporto de São Paulo/Congonhas;São Paulo/SP;2024;Doméstico;1809593;253343;Jun;6
Julho;SBSP;Aeroporto de São Paulo/Congonhas;São Paulo/SP;2024;Doméstico;2044071;286170;Jul;7
Agosto;SBSP;Aeroporto de São Paulo/Congonhas;São Paulo/SP;2024;Doméstico;1956312;273884;Ago;8
